COUNTY,TREE-COVER
Mandera,0
Wajir,32
Isiolo,117
Mombasa,3811
Nairobi,5242
Turkana,6308
Machakos,7795
Marsabit,8614
Vihiga,12042
Migori,14725
Kajiado,19468
Busia,22039
Kisumu,26031
Taita Taveta,28346
Makueni,29164
Kitui,32855
Embu,33625
Siaya,35124
Kakamega,35908
Uasin Gishu,35967
Kirinyaga,43860
Nyamira,45412
Tharaka,46119
Laikipia,46229
Kisii,48734
Homa Bay,50462
Trans Nzoia,51439
Tana River,60105
Kiambu,67619
Bungoma,71112
Murang'a,83218
Samburu,84134
Nyandarua,86039
Kwale,88915
West Pokot,100198
Keiyo-Marakwet,107098
Nandi,110192
Baringo,113989
Bomet,120634
Meru,120911
Nakuru,123401
Kericho,141229
Kilifi,160174
Nyeri,172307
Garissa,239156
Lamu,244951
Narok,334631
